experiment,mean_RMSE,std_RMSE
baseline_tabred,53.52568882647328,0.7262222277995583
baseline_tabred,53.52489080711293,0.7263158814739731
baseline_tabred,53.5232250875319,0.7256670798860491
baseline_tabred,43.97686101285712,0.8592320930419491
baseline_tabred,42.66221026317601,1.0506617447636954
baseline_tabred,41.8416191245418,0.953238836697512
baseline_tabred,41.257917962965735,1.102130029574529
xgb_tuned,52.60052602967355,
lgbm_tuned,49.78229176178787,
xgb_tuned,46.2453809921816,3.9998677589558103
lgbm_tuned,46.16654814995106,4.051858821392779
